title;tags;contentWarn;watched;watching;rating
Toradora! Recap;['Romance', 'Shounen', 'Recap'];[];883;15;3.649
Nuwa Chengzhang Riji;['Fantasy', 'Romance', 'Chinese Animation', 'Short Episodes', 'Xianxia', 'Based on a Novel'];[];61;51;3.648
Yumekui Merry;['Action', 'Seinen', 'Dream World', 'Person in a Strange World', 'Supernatural', 'Based on a Manga'];[];10599;1327;3.648
Urusei Yatsura Movie 3: Remember My Love;;;;;
Buddy Complex;['Action', 'Drama', 'Mecha', 'Sci Fi', 'Time Travel', 'Original Work'];[];4121;380;3.647
Nabari no Ou;['Shounen', 'Ninja', 'Supernatural', 'Superpowers', 'Based on a Manga'];[];12517;2093;3.647
TWO-MIX: White Reflection;['Adventure'];[];759;1;3.646
Deadman Wonderland: The Red Knife Wielder;['Shounen', 'Police', 'Superpowers', 'Based on a Manga'];['Violence'];12362;118;3.647
Neppu Kairiku Bushi Road;['Action', 'Sci Fi'];[];1729;77;3.646
GA: Geijutsuka Art Design Class OVA;['Comedy', 'Seinen', 'Slice of Life', 'Art', 'Art School', 'Based on a Manga'];[];570;12;3.646
Brigadoon;['Action', 'Comedy', 'Sci Fi', 'Historical', 'Original Work'];[];739;77;3.646
Jewelpet Twinkle Special;['Fantasy', 'Shoujo', 'Family Friendly', 'Sanrio Characters'];[];126;2;3.646
Lupin III: Legend of the Gold of Babylon;['America', 'Criminals', 'Thieves'];[];1755;17;3.646
A Little Princess Sara;;;;;
Laughing Under the Cloud Gaiden: Movie 3;['Shoujo', 'Based on a Manga'];[];68;9;3.645
Yokohama Kaidashi Kikou;['Seinen', 'Slice of Life', 'Androids', 'Countryside', 'Iyashikei', 'Non-Human Protagonists', 'Robots', 'Based on a Manga'];[];1355;50;3.645
Cross Ange: Rondo of Angels and Dragons;['Action', 'Ecchi', 'Fantasy', 'Mecha', 'Dragons', 'Dystopia', 'Magic', 'Prison', 'Rebellions', 'Original Work'];['Explicit Sex', 'Mature Themes', 'Physical Abuse', 'Sexual Abuse', 'Violence'];5443;1007;3.644
Engaged to the Unidentified Special;['Comedy', 'Seinen', 'Slice of Life', 'Based on a Manga'];[];2446;32;3.644
Yuyushiki;['Comedy', 'Seinen', 'Slice of Life', 'School Club', 'School Life', 'Based on a Manga'];[];2975;330;3.644
Lovely Movie: Lovely Muuuuuuuco!;['Comedy', 'Seinen', 'Slice of Life', 'Animal Protagonists', 'Countryside', 'Dogs', 'Iyashikei', 'Non-Human Protagonists', 'Pets', 'Short Episodes', 'Based on a Manga'];[];52;14;3.644
Iria: Zeiram The Animation;['Action', 'Sci Fi', 'Bounty Hunters', 'Based on a Movie'];[];2601;78;3.643
Mojakou;['Adventure', 'Comedy', 'Sci Fi', 'Aliens'];[];40;8;3.643
Persona 5 The Animation: Proof of Justice;['Based on a Video Game'];[];198;13;3.643
Polyphonica Crimson S;['Fantasy', 'Romance', 'Magic', 'Music', 'School Life', 'Based on a Visual Novel'];[];2114;196;3.644
Uma Musume: Pretty Derby;['Comedy', 'Drama', 'Sports', 'All-Girls School', 'Animal Characteristics', 'Anthropomorphic', 'Boarding School', 'Lifestyle Change', 'Non-Human Protagonists', 'Racing', 'School Life', 'Based on a Mobile Game'];[];1575;492;3.644
Inukami!;;;;;
Oseam;['Drama', 'Slice of Life', 'Buddhism', 'Childcare', 'Countryside', 'Disability', 'Historical', 'Korean Animation', 'Melancholy', 'Orphans', 'Religion', 'Siblings', 'Based on a Novel'];['Bullying', 'Emotional Abuse'];559;15;3.642
Qin Shi Ming Yue: Tian Xing Jiu Ge 2nd Season;['Action', 'Fantasy', 'Ancient China', 'Chinese Animation', 'Martial Arts', 'CG Animation'];[];19;21;3.642
And Yet the Town Moves;['Comedy', 'Seinen', 'Slice of Life', 'Cafe', 'Maids', 'Based on a Manga'];[];2660;306;3.641
Code Geass: Lelouch of the Rebellion R2 Picture Drama;['Picture Drama'];[];5009;54;3.641
Mobile Suit Gundam Narrative;['Action', 'Drama', 'Mecha', 'Sci Fi', 'Military', 'Outer Space', 'War'];[];292;16;3.641
Garo: Vanishing Line;['Action', 'Fantasy', 'Mystery', 'Sci Fi', 'Conspiracy', 'Contemporary Fantasy', 'Dark Fantasy', 'Demons', 'Power Suits', 'Superheroes', 'Supernatural', 'Based on a TV Series'];['Mature Themes', 'Physical Abuse'];1229;444;3.641
Space Warrior Baldios Movie;['Action', 'Mecha', 'Sci Fi', 'Original Work'];[];89;2;3.625
One Piece: Take Aim! The Pirate Baseball King;['Comedy', 'Shounen', 'Sports', 'Baseball', 'Pirates', 'Shorts', 'Based on a Manga'];[];7969;29;3.641
Tokimeki Memorial: Only Love;;;;;
A Sumo Wrestler's Tail;['Comedy', 'Sports', 'Animal Protagonists', 'Anthropomorphic', 'Ghibli Museum Shorts', 'Hand to Hand Combat', 'Non-Human Protagonists', 'Shorts', 'Sumo Wrestling'];[];72;5;3.64
Kiss x Sis;['Comedy', 'Ecchi', 'Romance', 'Seinen', 'Borderline H', 'Brother Complex', 'Panty Shots', 'Siblings', 'Based on a Manga'];['Explicit Sex', 'Incest', 'Mature Themes'];10721;9352;3.64
Mobile Suit Gundam SEED Movie III: The Rumbling Sky;;;;;
Jin: Lost Time Memory;['Vocaloid'];[];450;6;3.639
Napping Princess;['Drama', 'Fantasy', 'Original Work'];[];939;42;3.64
Someday's Dreamers II Sora;['Drama', 'Shounen', 'Slice of Life', 'Apprenticeship', 'Magic', 'Magic School', 'School Life', 'Based on a Manga'];[];1246;129;3.639
Seraph of the End Specials;['Comedy', 'Shounen', 'Supernatural', 'Based on a Manga'];[];3247;144;3.64
REC Special;['Comedy', 'Seinen', 'Slice of Life'];[];1835;5;3.639
Kenshi Yonezu: Suna no Wakusei;['Desert', 'Vocaloid'];[];332;3;3.623
Qin Shi Ming Yue: Tian Xing Jiu Ge;['Action', 'Fantasy', 'Ancient China', 'Chinese Animation', 'Martial Arts', 'CG Animation'];[];51;25;3.638
Inazuma Eleven: Saikyou Gundan Ogre Shuurai;['Sci Fi', 'Sports', 'Family Friendly', 'Soccer', 'Based on a Video Game'];[];1216;23;3.639
PriPara Movie: Minna no Akogare♪ Let's Go☆Prix Paris;['Idols', 'Music'];[];100;6;3.638
Monkey Punch: Manga Katsudou Daishashin;['Comedy', 'Collections', 'Based on a Manga'];[];17;2;3.638
Mahoromatic: Tadaima Okaeri;['Comedy', 'Ecchi', 'Seinen', 'Androids', 'Maids', 'Non-Human Protagonists', 'Robots', 'Based on a Manga'];[];1808;39;3.635
Paniponi Dash!;;;;;
Waiting in the Summer: In Our Last Summer in High School, We Await That Summer;['Romance', 'Slice of Life', 'Aliens', 'Countryside', 'Photography', 'Original Work'];[];2088;32;3.637
Kamisama Kazoku;;;;;
Ai Yori Aoshi;['Comedy', 'Harem', 'Romance', 'Seinen', 'Slice of Life', 'Boarding House', 'Neighbors', 'Sudden Girlfriend Appearance', 'Based on a Manga'];[];17279;907;3.637
Robot on the Road;"['Comedy', 'Ecchi', 'Sci Fi', 'Countryside', '""Japan Animators Exhibition""', 'Non-Human Protagonists', 'Robots', 'Shorts']";['Nudity'];877;106;3.636
Zettai Karen Children OVA: Aitazousei! Ubawareta Mirai?;['Action', 'Fantasy', 'Shounen', 'Based on a Manga'];[];788;18;3.636
Sherlock Hound;['19th Century', 'Animal Protagonists', 'Anthropomorphic', 'Detectives', 'Dogs', 'England', 'Europe', 'Family Friendly', 'Historical', 'Non-Human Protagonists', 'Sherlock Holmes'];[];684;62;3.636
Cat Soup;['Adventure', 'Abstract', 'Afterlife', 'Animal Protagonists', 'Anthropomorphic', 'Cats', 'No Dialogue', 'Non-Human Protagonists', 'Original Work'];['Animal Abuse', 'Mature Themes', 'Violence'];6710;67;3.636
The Pilot's Love Song;['Adventure', 'Fantasy', 'Romance', 'Aviation', 'Island', 'Based on a Light Novel'];[];3790;477;3.635
Muteki Kojin Daitarn 3;['Action', 'Mecha', 'Sci Fi', 'Super Robot'];[];243;14;3.635
Senyuu.;['Comedy', 'Fantasy', 'Shounen', 'Breaking the Fourth Wall', 'Parody', 'RPG', 'Short Episodes', 'Based on a Manga'];[];5080;429;3.636
Anonymous Noise;['Drama', 'Romance', 'Shoujo', 'Childhood Friends', 'Love Triangle', 'Music', 'Rock Music', 'School Life', 'Based on a Manga'];[];3538;575;3.635
Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Ryou-san no Sushi Kuinee! - Choujyou Maguro Taiketsu;['Comedy', 'Police'];[];19;1;3.635
Heavy Object;['Action', 'Sci Fi', 'Military', 'War', 'Based on a Light Novel'];[];3863;971;3.635
Ayatsuri Sakon;['Mystery', 'Shounen', 'Detectives', 'Based on a Manga'];[];1033;154;3.634
Lupin III: Green vs Red;['Action', 'Criminals', 'Thieves'];[];1823;19;3.634
Majestic Prince Movie: Kakusei no Idenshiko;['Action', 'Drama', 'Mecha', 'Sci Fi', 'Seinen', 'Amnesia', 'Outer Space', 'Based on a Manga'];[];261;11;3.634
Cardcaptor Sakura: Leave it to Kero;['Comedy', 'Shoujo', 'Animal Protagonists', 'Cats', 'Family Friendly', 'Food and Beverage', 'Non-Human Protagonists', 'Shorts', 'Based on a Manga'];[];4580;16;3.634
Saki: Episode of Side A;['Comedy', 'Ecchi', 'Shounen', 'Board Games', 'Mahjong', 'School Club', 'School Life', 'Tournaments', 'Based on a Manga'];[];1985;220;3.633
KINMOZA!;['Comedy', 'Seinen', 'Slice of Life', 'Iyashikei', 'School Life', 'Based on a 4-Koma Manga', 'Based on a Manga'];[];3696;538;3.633
Watamote: No Matter How I Look at It, It's You Guys' Fault I'm Not Popular!;['Comedy', 'Shounen', 'Slice of Life', 'Mental Illness', 'Otaku Culture', 'School Life', 'Based on a Manga'];[];17585;2282;3.633
Inazuma Eleven: Orion no Kokuin;['Sports', 'Family Friendly', 'Soccer', 'Based on a Video Game'];[];160;133;3.634
B-PROJECT: Zecchou Emotion;['Idols', 'Music', 'Showbiz', 'Original Work'];[];389;163;3.634
Mu Wang Zhi Wang: Han Tie Dou;['Action', 'Chinese Animation', 'Historical'];[];19;16;3.632
Yankee-kun na Yamada-kun to Megane-chan to Majo;['Comedy', 'Shounen', 'Body Swapping', 'Crossover', 'School Life', 'Supernatural', 'Based on a Manga'];[];1105;32;3.638
Fushigi Yugi OVA: Dai Ni Bu;['Fantasy', 'Romance', 'Shoujo', 'Isekai', 'Reincarnation', 'Based on a Manga'];[];5025;89;3.632
Area 88;;;;;
Baki the Grappler;['Hand to Hand Combat', 'Based on a Manga'];[];6648;394;3.632
Armitage III Poly-Matrix;['Action', 'Sci Fi', 'Androids', 'Cyberpunk', 'Non-Human Protagonists', 'Robots', 'Original Work'];[];4939;33;3.631
Minami: Hollowness;['Psychological'];['Mature Themes', 'Self-Harm'];201;4;3.62
One Piece Movie 3: Chopper Kingdom of Strange Animal Island;['Action', 'Adventure', 'Shounen', 'Island', 'Pirates', 'Superpowers', 'Based on a Manga'];[];14060;58;3.631
Moonlight Mile;;;;;
Karneval;['Fantasy', 'Josei', 'Circus', 'Monsters', 'Based on a Manga'];[];9757;1276;3.631
Wake Up, Girls! Seven Idols;['Idols', 'Music', 'Showbiz', 'Original Work'];[];1324;28;3.63
Encouragement of Climb: Omoide Present;['Seinen', 'Slice of Life', 'Childhood Friends', 'Shorts', 'Based on a Manga'];[];293;12;3.63
Mashiroiro Symphony: The Color of Lovers;['Drama', 'Harem', 'Romance', 'All-Girls School', 'School Club', 'School Life', 'Tsundere', 'Based on an Eroge', 'Based on a Visual Novel'];['Sexual Content'];7170;602;3.629
A Certain Magical Index III;['Action', 'Drama', 'Sci Fi', 'Magic', 'Psychic Powers', 'Supernatural', 'Superpowers', 'Based on a Light Novel'];['Violence'];2984;1436;3.633
Saint Seiya Movie 3: Legend of Crimson Youth;['Action', 'Fantasy', 'Sci Fi', 'Shounen', 'Hand to Hand Combat', 'Power Suits', 'Superpowers'];['Violence'];3476;26;3.629
Yes! Pretty Cure 5 Kagami no Kuni no Miracle Daibouken!;['Fantasy', 'Magical Girl', 'Henshin Heroes', 'Magic', 'Person in a Strange World'];[];493;12;3.628
Witchblade;['Action', 'Sci Fi', 'Demons', 'Post-apocalyptic', 'Superpowers', 'Based on a Comic Book'];['Violence'];12447;1234;3.628
Love Live! Snow Halation;['Idols'];[];2122;18;3.629
Infinite Stratos: World Purge-hen;['Action', 'Comedy', 'Ecchi', 'Harem', 'Mecha', 'Sci Fi', 'Boarding School', 'Power Suits', 'Virtual Reality', 'Based on a Light Novel'];[];3745;61;3.628
Armored Trooper Votoms: Alone Again;['Mecha', 'Sci Fi', 'Real Robot', 'Original Work'];[];357;7;3.627
No Guns Life;['Action', 'Drama', 'Sci Fi', 'Seinen', 'Cyborgs', 'Guns', 'Noir', 'Robots', 'Based on a Manga'];[];1808;1028;3.627
Murder Princess;['Action', 'Adventure', 'Fantasy', 'Seinen', 'Body Swapping', 'Cyborgs', 'Monsters', 'Royalty', 'Based on a Manga'];[];7636;368;3.627
Denki-Gai;['Comedy', 'Seinen', 'Slice of Life', 'Bookstore', 'Coworkers', 'Doujinshi Industry', 'Manga Industry', 'Otaku Culture', 'Work Life', 'Based on a Manga'];[];3583;516;3.627
Haiyore! Nyaruko-san: Yasashii Teki no Shitome-kata;['Comedy', 'Magical Girl', 'Aliens', 'Anthropomorphic', 'Henshin Heroes', 'Interspecies Relationship', 'Magic', 'Non-Human Protagonists', 'Supernatural', 'Based on a Light Novel'];[];2023;25;3.628
Boro the Caterpillar;['Adventure', 'Animal Protagonists', 'Family Friendly', 'Ghibli Museum Shorts', 'Insects', 'Non-Human Protagonists', 'Shorts', 'CG Animation'];[];54;3;3.626
Mobile Suit Zeta Gundam: A New Translation II -Lovers-;['Mecha', 'Sci Fi'];[];1235;16;3.626
The Guardian Brothers;['Adventure', 'Comedy', 'Fantasy', 'Chinese Animation', 'CG Animation'];[];70;1;3.626
Mahoromatic: Summer Special;['Comedy', 'Ecchi', 'Seinen', 'Androids', 'Maids', 'Non-Human Protagonists', 'Robots', 'Based on a Manga'];[];2687;32;3.624
Ultra B;['Comedy', 'Sci Fi', 'Short Episodes', 'Superpowers', 'Based on a Manga'];[];30;1;3.626
Anne of Green Gables;;;;;
Tamayura;['Slice of Life', 'Iyashikei', 'Photography', 'Original Work'];[];1947;131;3.625
Jibaku-kun: Twelve World Story;['Adventure', 'Comedy', 'Fantasy'];[];355;14;3.625
Resident Evil: Degeneration;;;;;
Aquarion Evol;['Action', 'Comedy', 'Mecha', 'Romance', 'Sci Fi', 'Aliens', 'Combining Mecha', 'Original Work'];[];6089;889;3.624
Jungle Emperor Leo Movie;['Animal Protagonists', 'Cats', 'Family Friendly', 'Forest', 'Jungle', 'Non-Human Protagonists', 'Based on a Manga'];[];599;6;3.624
Sentou Mecha Xabungle;['Mecha', 'Sci Fi', 'Military'];[];130;20;3.624
Usavich;['Adventure', 'Comedy', 'Animal Protagonists', 'Anthropomorphic', 'Non-Human Protagonists', 'Prison', 'Rabbits', 'Short Episodes', 'Original Work'];[];517;23;3.623
Gatchaman Crowds Insight: Inbound;['Action', 'Aliens', 'Social Media'];[];1214;20;3.623
Aria the Scarlet Ammo;['Action', 'Seinen', 'Guns', 'School Life', 'Tsundere', 'Based on a Light Novel'];[];21104;1393;3.623
Overlord III: Play Play Pleiades;['Comedy', 'Fantasy', 'Chibi', 'Overpowered Main Characters', 'RPG', 'Short Episodes', 'Virtual Reality', 'Based on a Light Novel'];[];1273;131;3.622
Urusei Yatsura;['Comedy', 'Romance', 'Sci Fi', 'Shounen', 'Slice of Life', 'Aliens', 'Cohabitation', 'School Life', 'Sudden Girlfriend Appearance', 'Based on a Manga'];[];2043;586;3.621
Eve: We're Still Underground;['Adventure', 'Fantasy', 'Contemporary Fantasy', 'Monsters', 'Urban Fantasy'];[];197;4;3.623
KADO: The Right Answer;['Drama', 'Sci Fi', 'Political', 'CG Animation', 'Original Work'];[];3224;785;3.623
Outlaw Star Pilot;['Sci Fi', 'Seinen', 'Shorts', 'Based on a Manga'];[];1181;21;3.622
Sore Ike! Anpanman: Otanjoubi Series;['Comedy', 'Fantasy', 'Anthropomorphic', 'Family Friendly', 'Food Protagonists', 'Non-Human Protagonists', 'Superpowers'];[];25;0;3.622
Gonna be the Twin-Tail!! Tokubetsu-hen;['Action', 'Comedy', 'Recap', 'Superpowers', 'Based on a Light Novel'];[];30;2;3.622
Monster Strike the Animation;['Action', 'Fantasy', 'Monsters', 'Based on a Mobile Game', 'CG Animation'];[];52;134;3.621
Huan Jie Wang;['Action', 'Fantasy', 'Chinese Animation'];[];113;91;3.621
Dirty Pair: With Love From the Lovely Angels;['Action', 'Ecchi', 'Sci Fi', 'Police', 'Based on a Light Novel'];[];570;17;3.621
Touch: Cross Road - Kaze no Yukue;['Drama', 'Romance', 'Shounen', 'Sports', 'America', 'Baseball', 'Based on a Manga'];[];381;9;3.621
STARMYU in Halloween;['Music', 'Music School', 'School Life', 'Original Work'];[];147;12;3.629
High School Fleet;['Action', 'Sci Fi', 'Military', 'Military School', 'Ocean', 'School Life', 'Ship', 'Original Work'];[];2267;318;3.62
Daddy Long Legs;['All-Girls School', 'America', 'Boarding School', 'Mysterious Benefactor', 'Orphans', 'World Masterpiece Theater', 'Based on a Novel'];[];975;52;3.62
Dash! Kappei;['Comedy', 'Ecchi', 'Sports', 'Basketball', 'Panty Shots', 'School Life', 'Based on a Manga'];[];636;24;3.62
A-Channel + smile;['Comedy', 'Seinen', 'Slice of Life', 'Based on a Manga'];[];2122;38;3.618
Princess Lover!;['Ecchi', 'Harem', 'Inheritance', 'Sudden Girlfriend Appearance', 'Based on a Visual Novel'];['Nudity'];16306;954;3.618
Toriko;['Action', 'Adventure', 'Comedy', 'Shounen', 'Food and Beverage', 'Island', 'Based on a Manga'];[];2927;239;3.619
Aria the Origination Picture Drama;['Shounen', 'Slice of Life', 'Ocean', 'Picture Drama', 'Based on a Manga'];[];831;15;3.618
Jean Valjean Monogatari;['Drama', '19th Century', 'Europe', 'Historical', 'World Masterpiece Theater', 'Based on a Novel'];[];23;0;3.618
Amagami SS+ Specials;['Romance', 'School Life', 'Based on a Visual Novel'];[];2620;97;3.617
Prince of Tennis: Another Story ~Kako to Mirai no Message~ Bonus;['Shounen', 'Sports', 'Short Episodes', 'Tennis', 'Based on a Manga'];[];865;12;3.617
Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou;['Comedy', 'Slice of Life', 'Chibi', 'School Life', 'Based on a Light Novel'];[];2204;29;3.619
Saiyuki OVA;['Action', 'Adventure', 'Fantasy', 'Shounen', 'Journey to the West', 'Based on a Manga'];[];787;23;3.6
Tsukigakirei Special;['Comedy', 'Original Work'];[];620;17;3.618
Princess Princess;['Comedy', 'Shoujo', 'All-Boys School', 'Boarding School', 'Crossdressing', 'School Life', 'Based on a Manga'];[];7918;533;3.617
Sugar Sugar Rune;;;;;
A Certain Scientific Railgun S Specials;['Comedy', 'Sci Fi', 'Gag', 'Magic', 'Parody', 'Psychic Powers', 'Supernatural', 'Superpowers', 'Based on a Light Novel'];[];1847;125;3.619
Fractale;['Adventure', 'Fantasy', 'Sci Fi', 'Dystopia', 'noitaminA', 'Original Work'];[];6277;698;3.616
Promare: Galo-hen;['Action', 'Sci Fi', 'Original Work'];[];473;28;3.618
Seitokaichou ni Chuukoku;['BL', 'Romance', 'Yaoi', 'School Life', 'Senpai-Kouhai Relationship', 'Student Council', 'Based on a Manga'];['Explicit Sex'];5472;194;3.616
Eve: raison d'etre;['Action', 'Fantasy', 'Superpowers'];[];116;0;3.621
Potemayo;['Comedy', 'Seinen', 'Slice of Life', 'Animal Characteristics', 'Chibi', 'Non-Human Protagonists', 'School Life', 'Based on a 4-Koma Manga', 'Based on a Manga'];[];1628;145;3.615
Needless;;;;;
Ashita no Joe Movie;;;;;
Shakugan no Shana Movie Special;['Comedy', 'Fantasy', 'Chibi', 'Tsundere'];[];4347;51;3.615
Sailor Moon Super S Special;['Fantasy', 'Magical Girl', 'Shoujo', 'Contemporary Fantasy', 'Henshin Heroes', 'Magic', 'Sentai', 'Tokusatsu', 'Urban Fantasy', 'Based on a Manga'];[];4406;36;3.615
Fate/Grand Order: Absolute Demonic Front - Babylonia - Initium Iter;['Action', 'Fantasy', 'Sci Fi', 'Magic', 'Proxy Battles', 'Superpowers', 'Based on a Mobile Game'];[];1100;42;3.616
Motto! Ojamajo Doremi Movie: Kaeru Seki no Himitsu;;;;;
Selector Destructed WIXOSS;['Card Battles', 'Psychological', 'Recap', 'Supernatural', 'Based on a Card Game'];[];597;27;3.614
Sasameki Koto;['Comedy', 'Drama', 'GL', 'Romance', 'Shoujo-ai', 'LGBT Themes', 'School Life', 'Based on a Manga'];[];3667;358;3.613
Ninja Girl & Samurai Master Episode 0;['Comedy', 'Seinen', '16th Century', 'Chibi', 'Feudal Japan', 'Historical', 'Ninja', 'Based on a 4-Koma Manga', 'Based on a Manga'];[];429;7;3.613
Ringing Bell;;;;;
Code Geass: Lelouch of the Rebellion - Kiseki no Birthday Picture Drama;['Picture Drama'];[];5341;47;3.613
The Comic Artist and His Assistants Specials;['Comedy', 'Ecchi', 'Seinen', 'Slice of Life', 'Coworkers', 'Manga Industry', 'Otaku Culture', 'Writers', 'Based on a Manga'];[];1891;244;3.612
Devil May Cry;['Action', 'Horror', 'Demons', 'Episodic', 'Monster-of-the-week', 'Overpowered Main Characters', 'Supernatural', 'Based on a Video Game'];['Violence'];33437;2320;3.612
Cells at Work! Heat Stroke - Moshi Moshi Pocari Sweat ga Attara;['Comedy', 'Shounen', 'Anthropomorphic', 'Educational', 'Food and Beverage', 'Medical', 'Non-Human Protagonists', 'Promotional', 'Based on a Manga'];[];534;44;3.612
Buki yo Saraba;['Sci Fi', 'Post-apocalyptic', 'CG Animation', 'Original Work'];[];509;13;3.612
Cardfight!! Vanguard G: Stride Gate;['Action', 'Fantasy', 'Card Battles', 'Family Friendly', 'Tournaments', 'Based on a Card Game'];[];341;53;3.615
Starlight Promises;['Drama', 'Supernatural', 'Original Work'];[];503;24;3.612
Kinnikuman;['Action', 'Comedy', 'Sci Fi', 'Shounen', 'Sports', 'Episodic', 'Hand to Hand Combat', 'Monster-of-the-week', 'Superheroes', 'Superpowers', 'Tournaments', 'Wrestling', 'Based on a Manga'];[];350;41;3.611
Basquash!;['Action', 'Mecha', 'Sci Fi', 'Sports', 'Basketball', 'Original Work'];[];3866;731;3.611
Mobile Suit Gundam SEED: After Phase: In the Valley of Stars;['Mecha', 'Sci Fi', 'Slice of Life'];[];2051;15;3.611
Crayon Shin-chan;['Comedy', 'Ecchi', 'Slice of Life', 'Crude', 'Based on a Manga'];['Mature Themes'];;5103;3.611
Sekai Meisaku Douwa: Mori wa Ikiteiru;['Drama', 'Forest', 'Based on a Fairy Tale'];[];169;3;3.611
Photon: The Idiot Adventures;;;;;
Kimi ni Todoke - From Me To You 2nd Season: A Crush;"['Comedy', 'Romance', 'Shoujo', 'Recap', 'School Life', '""Valentines Day""', 'Based on a Manga']";[];8285;64;3.61
Naruto: Honoo no Chuunin Shiken! Naruto vs Konohamaru!!;['Action', 'Shounen', 'Ninja', 'Shorts', 'Based on a Manga'];[];9281;86;3.61
Zatch Bell Movie 2: Attack of Mechavulcan;['Shounen', 'Demons', 'Magic', 'Non-Human Protagonists', 'Superpowers', 'Based on a Manga'];[];1221;15;3.613
Strawberry Panic;;;;;
Freezing;['Action', 'Ecchi', 'Seinen', 'Aliens', 'Panty Shots', 'Superpowers', 'Based on a Manga'];['Mature Themes', 'Nudity', 'Physical Abuse', 'Violence'];23619;1460;3.609
Sailor Moon;['Comedy', 'Fantasy', 'Magical Girl', 'Romance', 'Shoujo', 'Contemporary Fantasy', 'Elemental Powers', 'Family Friendly', 'Fated Lovers', 'Henshin Heroes', 'Magic', 'Monster-of-the-week', 'Sentai', 'Tokusatsu', 'Urban Fantasy', 'Based on a Manga'];[];36704;3080;3.61
Drifting Dragons;['Adventure', 'Fantasy', 'Seinen', 'Aviation', 'Cooking', 'Dragons', 'Food and Beverage', 'Based on a Manga', 'CG Animation'];[];546;182;3.607
Bleach: The Sealed Sword Frenzy;['Action', 'Shounen', 'Shinigami', 'Supernatural', 'Swordplay', 'Based on a Manga'];[];28868;153;3.609
Muteki Robo Trider G7;['Mecha', 'Sci Fi'];[];94;5;3.609
Terra Formars: Earth Arc;['Action', 'Horror', 'Sci Fi', 'Seinen', 'Human Experimentation', 'Insects', 'Superpowers', 'Based on a Manga'];[];76;12;3.609
Yuru Yuri;['Comedy', 'GL', 'Seinen', 'Shoujo-ai', 'Slice of Life', 'Based on a Manga'];[];375;19;3.608
The Sky Crawlers;['Action', 'Aviation', 'Europe', 'Military', 'Based on a Novel'];[];4885;66;3.608
Honoo no Toukyuuji: Dodge Danpei;['Comedy', 'Shounen', 'Sports', 'Dodgeball', 'Based on a Manga'];[];195;4;3.608
Blue Comet SPT Layzner;;;;;
Fafner Exodus;['Action', 'Mecha', 'Sci Fi', 'Aliens', 'Animeism', 'Post-apocalyptic', 'Psychological', 'Original Work'];[];917;171;3.607
Saber Marionette J Again;['Action', 'Comedy', 'Harem', 'Sci Fi', 'Androids', 'Non-Human Protagonists', 'Robots'];[];2607;28;3.607
Love, Chunibyo & Other Delusions: Heart Throb Specials;['Comedy', 'School Life', 'Based on a Light Novel'];[];2699;173;3.607
Macross Delta;['Action', 'Mecha', 'Sci Fi', 'Aliens', 'Idols', 'Love Triangle', 'Music', 'Outer Space', 'Pandemic', 'Real Robot', 'Transforming Mecha', 'War', 'Original Work'];[];1419;401;3.606
GANTZ;;;;;
A3! Season Spring & Summer;['Comedy', 'Acting', 'Boarding House', 'Inheritance', 'Showbiz', 'Based on a Mobile Game'];[];;470;3.571
Inazuma Eleven GO vs Danball Senki W Movie;['Mecha', 'Sports', 'Crossover', 'Soccer'];[];477;13;3.606
Black Cat Special;['Shounen', 'Based on a Manga'];[];3434;27;3.606
High School Fleet OVA;['Action', 'Sci Fi', 'Military', 'Military School', 'Ocean', 'School Life', 'Ship', 'Original Work'];[];530;50;3.606
Majestic Prince;;;;;
Sekirei: My First Errand;['Comedy', 'Ecchi', 'Seinen', 'Based on a Manga'];[];7747;56;3.605
Aikatsu! 3;['Idols', 'Music', 'Music School', 'School Life', 'Showbiz', 'Based on a Card Game'];[];437;126;3.605
Persona 5 The Animation: A Magical Valentine's Day;"['Romance', 'POV', '""Valentines Day""', 'Based on a Video Game']";[];190;13;3.605
Samurai Harem: Asu no Yoichi;['Comedy', 'Ecchi', 'Harem', 'Shounen', 'Lifestyle Change', 'Roommates', 'Samurai', 'Based on a Manga'];[];19652;1045;3.605
Saber Marionette J;['Action', 'Comedy', 'Harem', 'Sci Fi', 'Androids', 'Non-Human Protagonists', 'Robots'];[];4422;165;3.604
Tears to Tiara;['Action', 'Adventure', 'Fantasy', 'Harem', 'Seinen', 'Demons', 'Magic', 'Medieval', 'Based on an Eroge', 'Based on a Visual Novel'];[];8080;1397;3.604
IDOLiSH7: WiSH VOYAGE;['Idols', 'Music'];[];218;7;3.603
Kyou no Go no Ni (2009);['Comedy', 'Seinen', 'Slice of Life', 'Short Episodes', 'Based on a Manga'];[];917;22;3.603
Saikano;['Drama', 'Romance', 'Seinen', 'Cyborgs', 'Human Experimentation', 'Melancholy', 'War', 'Based on a Manga'];[];9866;535;3.603
Fuyu no Semi;['BL', 'Drama', 'Romance', 'Yaoi', '19th Century', 'Historical', 'LGBT Themes', 'Based on a Manga'];['Sexual Content'];2513;73;3.603
Masamune-kun's Revenge;['Comedy', 'Romance', 'Shounen', 'Revenge', 'School Life', 'Based on a Manga'];[];14745;1950;3.604
