title;tags;contentWarn;watched;watching;rating
Rascal Does Not Dream of a Dreaming Girl;['Drama', 'Romance', 'Illness', 'Senpai-Kouhai Relationship', 'Supernatural', 'Time Travel', 'Based on a Light Novel'];[];3963;229;4.573
Natsume's Book of Friends Season 4;;;;;
Made in Abyss;['Adventure', 'Fantasy', 'Mystery', 'Sci Fi', 'Seinen', 'Androids', 'Curse', 'Dark Fantasy', 'Melancholy', 'Non-Human Protagonists', 'Orphans', 'Outside World', 'Psychological', 'Robots', 'Based on a Manga'];['Explicit Violence'];18351;2067;4.566
Hajime no Ippo: New Challenger;;;;;
Haikyuu!!;['Shounen', 'Sports', 'School Club', 'School Life', 'Tournaments', 'Volleyball', 'Based on a Manga'];[];39929;6332;4.565
Natsume's Book of Friends Season 5;['Drama', 'Shoujo', 'Slice of Life', 'Bodyguards', 'Cats', 'Countryside', 'Episodic', 'Iyashikei', 'Japanese Mythology', 'Orphans', 'Supernatural', 'Youkai', 'Based on a Manga'];[];5589;661;4.561
Hajime no Ippo: The Fighting!;['Action', 'Drama', 'Shounen', 'Sports', 'Boxing', 'Hand to Hand Combat', 'Weak to Strong', 'Based on a Manga'];[];19646;1694;4.56
Howl's Moving Castle;;;;;
Code Geass: Lelouch of the Rebellion;;;;;
Descending Stories: Shouwa Genroku Rakugo Shinjuu;['Drama', 'Josei', 'Adult Couples', 'Animeism', 'Apprenticeship', 'Historical', 'Rakugo', 'Based on a Manga'];[];2642;493;4.553
Kizumonogatari Movie 3: Reiketsu;['Action', 'Drama', 'Ecchi', 'Psychological', 'Supernatural', 'Vampires', 'Based on a Light Novel'];['Explicit Violence', 'Nudity'];6569;240;4.553
JoJo's Bizarre Adventure: Golden Wind;['Action', 'Adventure', 'Shounen', 'Europe', 'Italy', 'Supernatural', 'Based on a Manga'];['Animal Abuse', 'Mature Themes'];7802;4318;4.552
Princess Mononoke;['Action', 'Adventure', 'Fantasy', 'Curse', 'Environmental', 'Feudal Japan', 'Forest', 'Japanese Mythology', 'Royalty', 'Original Work'];[];82562;383;4.551
Monogatari Series: Second Season;['Comedy', 'Drama', 'Supernatural', 'Based on a Light Novel'];['Violence'];14070;1795;4.551
Douluo Dalu 2;['Action', 'Fantasy', 'Chinese Animation', 'Cultivation', 'Xianxia', 'Based on a Novel', 'CG Animation'];[];;1167;4.54
Gintama: Porori-hen;['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Aliens', 'Crude', 'Feudal Japan', 'Gag', 'Samurai', 'Slapstick', 'Swordplay', 'Based on a Manga'];[];3583;442;4.547
My Hero Academia 4;['Action', 'Sci Fi', 'Shounen', 'Superheroes', 'Superpowers', 'Based on a Manga'];['Violence'];13759;15718;4.547
Owarimonogatari (2017);['Drama', 'Mystery', 'Supernatural', 'Based on a Light Novel'];[];4318;233;4.545
Weathering With You;['Drama', 'Lifestyle Change', 'Supernatural', 'Writers', 'Original Work'];[];4539;435;4.542
Luo Xiao Hei Zhan Ji Movie;['Action', 'Adventure', 'Fantasy', 'Animal Characteristics', 'Animal Transformation', 'Cats', 'Chinese Animation', 'Family Friendly', 'Non-Human Protagonists', 'Urban Fantasy'];[];130;7;4.51
KonoSuba – God’s blessing on this wonderful world! Movie: Legend of Crimson;['Comedy', 'Ecchi', 'Fantasy', 'Isekai', 'NEET', 'Person in a Strange World', 'RPG', 'Based on a Light Novel'];[];6216;273;4.542
Mushishi Zoku Shou: Suzu no Shizuku;['Fantasy', 'Seinen', 'Countryside', 'Forest', 'Iyashikei', 'Supernatural', 'Based on a Manga'];[];3502;97;4.541
Assassination Classroom 2nd Season;['Action', 'Comedy', 'Sci Fi', 'Shounen', 'Assassins', 'Non-Human Protagonists', 'Overpowered Main Characters', 'Parody', 'School Life', 'Teaching', 'Based on a Manga'];[];33017;3811;4.539
Rurouni Kenshin: Tsuiokuhen;['Romance', '19th Century', 'Feudal Japan', 'Melancholy', 'Samurai', 'Star-Crossed Lovers', 'Swordplay', 'Based on a Manga'];['Violence'];30102;487;4.539
Natsume's Book of Friends Season 3;['Drama', 'Shoujo', 'Slice of Life', 'Bodyguards', 'Cats', 'Countryside', 'Episodic', 'Iyashikei', 'Japanese Mythology', 'Orphans', 'Supernatural', 'Youkai', 'Based on a Manga'];[];12091;804;4.538
Mushishi: Hihamukage;['Fantasy', 'Seinen', 'Countryside', 'Illness', 'Supernatural', 'Based on a Manga'];[];6199;137;4.537
Mo Dao Zu Shi;['Action', 'Adventure', 'Mystery', 'Ancient China', 'Chinese Animation', 'Cultivation', 'Historical', 'Rebellions', 'Supernatural', 'Swordplay', 'War', 'Xianxia', 'Zombies', 'Based on a Light Novel'];['Violence'];3250;806;4.535
The Disappearance of Haruhi Suzumiya;['Drama', 'Sci Fi', 'Shounen', 'Psychological', 'Time Travel', 'Based on a Light Novel'];[];28510;429;4.534
Hajime no Ippo: Rising;['Action', 'Drama', 'Shounen', 'Sports', 'Boxing', 'Hand to Hand Combat', 'Based on a Manga'];[];8489;561;4.533
Fate/Zero 2;['Action', 'Fantasy', 'Contemporary Fantasy', 'Magic', 'Proxy Battles', 'Rivalries', 'Superpowers', 'Urban Fantasy', 'Based on a Light Novel'];['Violence'];33599;1420;4.533
Cowboy Bebop;['Action', 'Adventure', 'Drama', 'Sci Fi', 'Bounty Hunters', 'Episodic', 'Noir', 'Outer Space', 'Western', 'Original Work'];['Drug Use', 'Mature Themes', 'Nudity', 'Violence'];71135;7002;4.532
The Garden of Sinners Movie 5: Paradox Paradigm;['Mystery', 'Overpowered Main Characters', 'Supernatural', 'Based on a Light Novel'];[];9496;158;4.531
ERASED;['Drama', 'Mystery', 'Seinen', 'Age Transformation', 'Melancholy', 'noitaminA', 'Serial Killers', 'Supernatural', 'Thriller', 'Time Travel', 'Based on a Manga'];['Animal Abuse', 'Mature Themes', 'Physical Abuse', 'Domestic Abuse'];47259;3855;4.53
Mo Dao Zu Shi 2;['Action', 'Fantasy', 'Mystery', 'Ancient China', 'Chinese Animation', 'Cultivation', 'Historical', 'Martial Arts', 'Overpowered Main Characters', 'Supernatural', 'Swordplay', 'War', 'Xianxia', 'Zombies'];['Violence'];1595;377;4.528
I Want to Eat Your Pancreas;['Drama', 'Romance', 'Seinen', 'Coming of Age', 'Illness', 'Opposites Attract', 'School Life', 'Based on a Novel'];[];7349;337;4.528
Bunny Drop;['Drama', 'Josei', 'Slice of Life', 'Childcare', 'Family Life', 'Iyashikei', 'Lifestyle Change', 'noitaminA', 'Single Parent', 'Based on a Manga'];[];21809;1533;4.529
Dr. Stone;['Adventure', 'Comedy', 'Sci Fi', 'Shounen', 'Modern Knowledge', 'Person in a Strange World', 'Post-apocalyptic', 'Prehistoric', 'Survival', 'Based on a Manga'];[];17984;10330;4.526
The Disastrous Life of Saiki K. 2nd Season;['Comedy', 'Shounen', 'Slice of Life', 'Breaking the Fourth Wall', 'Gag', 'Psychic Powers', 'School Life', 'Supernatural', 'Superpowers', 'Based on a Manga'];[];9443;1455;4.526
Fruits Basket 2nd Season;['Comedy', 'Drama', 'Fantasy', 'Romance', 'Shoujo', 'Animal Transformation', 'Curse', 'Love Triangle', 'Based on a Manga'];[];;4160;4.527
Hotarubi no Mori e;['Drama', 'Romance', 'Shoujo', 'Coming of Age', 'Forest', 'Japanese Mythology', 'Loneliness', 'Melancholy', 'Supernatural', 'Youkai', 'Based on a Manga'];[];26893;350;4.525
Yona of the Dawn: Zeno Arc;['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance', 'Shoujo', 'Orphans', 'Political', 'Royalty', 'Based on a Manga'];['Violence'];5723;271;4.524
Great Teacher Onizuka;['Comedy', 'Drama', 'Shounen', 'Delinquents', 'School Life', 'Slapstick', 'Teaching', 'Work Life', 'Based on a Manga'];['Bullying', 'Emotional Abuse'];34465;3203;4.523
Natsume's Book of Friends Season 2;['Drama', 'Shoujo', 'Slice of Life', 'Bodyguards', 'Cats', 'Countryside', 'Episodic', 'Iyashikei', 'Japanese Mythology', 'Orphans', 'Supernatural', 'Youkai', 'Based on a Manga'];[];13864;710;4.523
Your lie in April;['Drama', 'Romance', 'Shounen', 'Classical Music', 'Illness', 'Melancholy', 'Mental Illness', 'Music', 'noitaminA', 'Psychological', 'School Life', 'Tournaments', 'Unrequited Love', 'Based on a Manga'];['Mature Themes', 'Physical Abuse', 'Domestic Abuse'];46037;5381;4.522
Legend of the Galactic Heroes;;;;;
Kizumonogatari Movie 2: Nekketsu;['Action', 'Ecchi', 'Psychological', 'Supernatural', 'Vampires', 'Based on a Light Novel'];['Explicit Violence'];6999;152;4.52
Violet Evergarden: Eternity and the Auto Memory Doll;['Drama', 'Melancholy', 'Based on a Light Novel'];[];2864;134;4.518
Kuroko's Basketball 3;['Shounen', 'Sports', 'Basketball', 'School Club', 'Tournaments', 'Based on a Manga'];[];21276;2901;4.518
